rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/0814255,Andrew L. Urban,False,Urban Cinefile,Fresh,,2010-02-06,A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle
m/0814255,Louise Keller,False,Urban Cinefile,Fresh,,2010-02-06,"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy"
m/0814255,,False,FILMINK (Australia),Fresh,,2010-02-09,"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment."
m/0814255,Ben McEachen,False,Sunday Mail (Australia),Fresh,3.5/5,2010-02-09,"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?"
m/0814255,Ethan Alter,True,Hollywood Reporter,Rotten,,2010-02-10,"What's really lacking in The Lightning Thief is a genuine sense of wonder, the same thing that brings viewers back to Hogwarts over and over again."
m/0814255,David Germain,True,Associated Press,Rotten,,2010-02-10,It's more a list of ingredients than a movie-magic potion to enjoy from start to finish.
m/0814255,Nick Schager,False,Slant Magazine,Rotten,1/4,2010-02-10,Harry Potter knockoffs don't come more transparent and slapdash than this wannabe-franchise jumpstarter directed by Chris Columbus.
m/0814255,Bill Goodykoontz,True,Arizona Republic,Fresh,3.5/5,2010-02-10,"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references."
m/0814255,Jordan Hoffman,False,UGO,Fresh,B,2010-02-10,"Fun, brisk and imaginative"
m/0814255,Jim Schembri,True,The Age (Australia),Fresh,3/5,2010-02-10,"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display."
m/0814255,Mark Adams,False,Daily Mirror (UK),Fresh,4/5,2010-02-10,"This action-packed fantasy adventure, based on Rick Riordan's hit Percy Jackson and the Olympians series of books, is great fun, and deserves to find an audience with teens now bereft of any Harry Potter magic."
m/0814255,Roger Moore,True,Orlando Sentinel,Rotten,2/4,2010-02-10,"For what it is and for whom it is intended, it's not a bad movie, just an indifferent one."
m/0814255,David Jenkins,True,Time Out,Rotten,2/5,2010-02-10,"Chris Columbus returns to his comfort zone for this mirthless, episodic fantasy saga based on the young-reader book series by Rick Riordan."
m/0814255,Joshua Tyler,False,CinemaBlend,Fresh,3/5,2010-02-11,The best thing you can say about Chris Columbus's adaptation is that he's incapable of destroying whatever magic and wonder it is in these books that has kept kids coming back for more.
m/0814255,Peter Paras,False,E! Online,Rotten,C,2010-02-11,This cast is simply too generic. None of the young thespians stick out.
m/0814255,Vic Holtreman,False,Screen Rant,Fresh,3.5/5,2010-02-11,"Percy Jackson may not be ""Harry Potter good,"" but kids will really enjoy it and parents will be happy to have a moviethey can bring them to that's family-friendly."
m/0814255,MaryAnn Johanson,False,Flick Filosopher,Fresh,,2010-02-11,"[P]erfectly inoffensive, occasionally clever... It's in the few genuinely cinematically joyful moments, the ones that do rise above the formula, that you realize how much more this could have been..."
m/0814255,Mark Dujsik,False,Mark Reviews Movies,Rotten,2.5/4,2010-02-11,"Admirably, the movie isn't bogged down in the exposition common to first entries, but at the end, it's a franchise searching for its voice."
m/0814255,Nell Minow,False,Beliefnet,Fresh,B,2010-02-11,The main thing this movie seems to be missing is classically trained British actors.
m/0814255,Mary Elizabeth Williams,True,Salon.com,Rotten,,2010-02-11,"When the movie slows down to catch its breath, there's very little of the heart and soul -- and wry wit -- that make the Riordan books so beloved."
m/0814255,Dustin Putman,False,TheFilmFile.com,Fresh,2.5/4,2010-02-11,"Imperfect, yes, but also both suitably imaginative and entertaining. Works as action-adventure razzle-dazzle, coming-of-age tale, and beginners' lesson on Greek mythology."
m/0814255,Stephen Holden,True,New York Times,Rotten,2/5,2010-02-11,"Although the standard allegorical bases for mythical-quest movies are dutifully covered, the obvious similarity of Percy Jackson to the Harry Potter movies inevitably makes it feel somewhat secondhand."
m/0814255,Jeffrey M. Anderson,False,Combustible Celluloid,Rotten,1/4,2010-02-11,"A little bit worse than lifeless; it's clueless, like a Medusa running around with her head cut off."
m/0814255,Elizabeth Weitzman,True,New York Daily News,Fresh,3/5,2010-02-11,You don't even have to be familiar with the first book in Rick Riordan's popular fantasy series to enjoy Chris Columbus' energetic adaptation.
m/0814255,Kenneth Turan,True,Los Angeles Times,Rotten,2/5,2010-02-11,"This is generic filmmaking at its most banal, a simple-minded simplification of a not overwhelmingly complex book."
m/0814255,Moira MacDonald,True,Seattle Times,Rotten,2/4,2010-02-11,"Kids may well enjoy the adventures of The Lightning Thief on screen, but I think most readers will prefer the movie in their imaginations."
m/0814255,James Rocchi,True,MSN Movies,Fresh,3/5,2010-02-11,An attempt to steal some of Harry Potter's thunder that also stands on its own as a well-made large-scale adventure that works well enough to entertain the teens it's hoping to strike.
m/0814255,Stephen Whitty,True,Newark Star-Ledger,Fresh,3/4,2010-02-11,"With great effects (and a few surprises) it's a fun, Saturday-matinee adventure."
m/0814255,David Plotz,True,Slate,Rotten,,2010-02-11,Columbus directs with his usual frying pan to the head. Music is forever swelling majestically. Characters are always opening wide their eyes and mouths to gaze in wonder.
m/0814255,Jeff Vice,False,Deseret News (Salt Lake City),Fresh,2/4,2010-02-11,"While this might not rival the later, better Harry Potter movies or the Lord of the Rings trilogy, it's more fun than you might expect."
m/0814255,Wesley Morris,True,Boston Globe,Rotten,2/4,2010-02-11,"Percy Jackson & the Olympians sounds like an Otis Redding cover band. It is, instead, an unofficial cover of the Harry Potter franchise."
m/0814255,Andrea Gronvall,True,Chicago Reader,Rotten,,2010-02-11,The movie feels like a cut-rate Potter knockoff with a dash of Ray Harryhausen.
m/0814255,Tasha Robinson,True,AV Club,Rotten,C-,2010-02-11,"In Columbus' hands, it once again all breaks down into a series of rushed, breathless special-effects setpieces, in a thrill ride that isn't headed anywhere new."
m/0814255,Rene Rodriguez,True,Miami Herald,Fresh,2.5/4,2010-02-11,The Lightning Thief makes the idea of a sequel seem like an inviting proposition.
m/0814255,Kent Turner,False,School Library Journal,Fresh,2.75/5,2010-02-11,"Columbus aims at nothing more than providing a rambunctious romp. He nimbly avoids the fate that has snared other film adaptations, like Eragon and Inkheart."
m/0814255,Bill Gibron,False,Filmcritic.com,Rotten,3/5,2010-02-11,gets so many things right that when it goes astray that you kind of wish it hadn't tried in the first place
m/0814255,Joe Williams,True,St. Louis Post-Dispatch,Fresh,2.5/4,2010-02-11,"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula."
m/0814255,Cole Smithey,False,ColeSmithey.com,Fresh,B-,2010-02-11,"Chris Columbus and his crew take a literal approach to spectacle that denies the magnificent use of weirdness and scale that famed stop-action animator Ray Harryhausen brought to such myth-inspired classics as ""Jason and the Argonauts"" (1963)..."
m/0814255,Michael Phillips,True,Chicago Tribune,Rotten,2/4,2010-02-11,"Even with all its computer-generated fireballs, it's lukewarm medium-budget blockbustering."
